RecvTick,ExchTick,Bid,BidVol,Ask,AskVol,RecvTime,ExchTime,ContractId,TradingDay,Last,LastVol,Multiplier
637363634738331513,637363634733270000,4.74505910076,1,4.74505910076,1,738056.392058,738056.392052,992999999,20200922,4.74505910076,1,10000
637363634748391520,637363634743330000,4.74505910076,1,4.74505910076,1,738056.39207,738056.392064,992999999,20200922,4.74505910076,1,10000
637363634753471325,637363634748410000,4.74471008683,1,4.74471008683,1,738056.392076,738056.39207,992999999,20200922,4.74471008683,1,10000
637363634758473010,637363634753410000,4.74461295542,1,4.74461295542,1,738056.392082,738056.392076,992999999,20200922,4.74461295542,1,10000
637363634763541193,637363634758480000,4.74461453871,1,4.74461453871,1,738056.392087,738056.392082,992999999,20200922,4.74461453871,1,10000
637363634768542112,637363634763480000,4.74461927983,1,4.74461927983,1,738056.392093,738056.392087,992999999,20200922,4.74461927983,1,10000
637363634773602547,637363634768540000,4.74474438127,1,4.74474438127,1,738056.392099,738056.392093,992999999,20200922,4.74474438127,1,10000
637363634778617638,637363634773560000,4.74473806547,1,4.74473806547,1,738056.392105,738056.392099,992999999,20200922,4.74473806547,1,10000
637363634783772968,637363634778710000,4.74497631959,1,4.74497631959,1,738056.392111,738056.392105,992999999,20200922,4.74497631959,1,10000
637363634788773887,637363634783710000,4.74497306802,1,4.74497306802,1,738056.392117,738056.392111,992999999,20200922,4.74497306802,1,10000
637363634793846040,637363634788780000,4.74497306802,1,4.74497306802,1,738056.392123,738056.392117,992999999,20200922,4.74497306802,1,10000
637363634803815104,637363634798750000,4.74497306802,1,4.74497306802,1,738056.392134,738056.392128,992999999,20200922,4.74497306802,1,10000
637363634808926104,637363634803860000,4.74497686035,1,4.74497686035,1,738056.39214,738056.392134,992999999,20200922,4.74497686035,1,10000
637363634818885664,637363634813820000,4.74431869744,1,4.74431869744,1,738056.392151,738056.392146,992999999,20200922,4.74431869744,1,10000
637363634823957081,637363634818890000,4.74431869744,1,4.74431869744,1,738056.392157,738056.392151,992999999,20200922,4.74431869744,1,10000
637363634828957384,637363634823890000,4.74419023907,1,4.74419023907,1,738056.392163,738056.392157,992999999,20200922,4.74419023907,1,10000
637363634834028192,637363634828970000,4.74409942637,1,4.74409942637,1,738056.392169,738056.392163,992999999,20200922,4.74409942637,1,10000
637363634839028271,637363634833970000,4.74409644286,1,4.74409644286,1,738056.392175,738056.392169,992999999,20200922,4.74409644286,1,10000
637363634844099559,637363634839040000,4.74396579658,1,4.74396579658,1,738056.392181,738056.392175,992999999,20200922,4.74396579658,1,10000
637363634854168549,637363634849110000,4.74393489998,1,4.74393489998,1,738056.392192,738056.392186,992999999,20200922,4.74393489998,1,10000
637363634859287992,637363634854230000,4.74392138278,1,4.74392138278,1,738056.392198,738056.392192,992999999,20200922,4.74392138278,1,10000
637363634869267043,637363634864200000,4.74392138278,1,4.74392138278,1,738056.39221,738056.392204,992999999,20200922,4.74392138278,1,10000
637363634884391790,637363634879330000,4.74392014876,1,4.74392014876,1,738056.392227,738056.392221,992999999,20200922,4.74392014876,1,10000
637363634894360937,637363634889300000,4.74356571926,1,4.74356571926,1,738056.392239,738056.392233,992999999,20200922,4.74356571926,1,10000
637363634904431033,637363634899370000,4.74355134651,1,4.74355134651,1,738056.39225,738056.392245,992999999,20200922,4.74355134651,1,10000
637363634914424446,637363634909360000,4.74370335509,1,4.74370335509,1,738056.392262,738056.392256,992999999,20200922,4.74370335509,1,10000
637363634924434262,637363634919370000,4.74366648895,1,4.74366648895,1,738056.392274,738056.392268,992999999,20200922,4.74366648895,1,10000
637363634929439498,637363634924380000,4.74368886654,1,4.74368886654,1,738056.392279,738056.392274,992999999,20200922,4.74368886654,1,10000
637363634939393361,637363634934330000,4.74355903347,1,4.74355903347,1,738056.392291,738056.392285,992999999,20200922,4.74355903347,1,10000
637363634944567180,637363634939500000,4.74196953172,1,4.74196953172,1,738056.392297,738056.392291,992999999,20200922,4.74196953172,1,10000
637363634954623585,637363634949560000,4.74196953172,1,4.74196953172,1,738056.392309,738056.392303,992999999,20200922,4.74196953172,1,10000
637363634959638655,637363634954580000,4.74161427219,1,4.74161427219,1,738056.392314,738056.392309,992999999,20200922,4.74161427219,1,10000
637363634964694991,637363634959630000,4.7410789832,1,4.7410789832,1,738056.39232,738056.392314,992999999,20200922,4.7410789832,1,10000
637363634969696597,637363634964630000,4.73663746865,1,4.73663746865,1,738056.392326,738056.39232,992999999,20200922,4.73663746865,1,10000
